
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=271s  	 loss=0.111 	 val_loss=0.025 	 val_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=270s  	 loss=0.032 	 val_loss=0.019 	 val_f1=0.055
Epoch 3/40 	 lr=9.7e-04 	 t=271s  	 loss=0.029 	 val_loss=0.016 	 val_f1=0.181
Epoch 4/40 	 lr=9.5e-04 	 t=270s  	 loss=0.026 	 val_loss=0.016 	 val_f1=0.299
Epoch 5/40 	 lr=9.2e-04 	 t=270s  	 loss=0.023 	 val_loss=0.014 	 val_f1=0.397
Epoch 6/40 	 lr=8.9e-04 	 t=271s  	 loss=0.022 	 val_loss=0.012 	 val_f1=0.494
Epoch 7/40 	 lr=8.7e-04 	 t=270s  	 loss=0.021 	 val_loss=0.011 	 val_f1=0.544
Epoch 8/40 	 lr=8.4e-04 	 t=270s  	 loss=0.021 	 val_loss=0.011 	 val_f1=0.554
Epoch 9/40 	 lr=8.2e-04 	 t=271s  	 loss=0.020 	 val_loss=0.010 	 val_f1=0.596
Epoch 10/40 	 lr=7.9e-04 	 t=271s  	 loss=0.019 	 val_loss=0.010 	 val_f1=0.591
Epoch 11/40 	 lr=7.6e-04 	 t=271s  	 loss=0.019 	 val_loss=0.010 	 val_f1=0.626
Epoch 12/40 	 lr=7.4e-04 	 t=270s  	 loss=0.018 	 val_loss=0.010 	 val_f1=0.646
Epoch 13/40 	 lr=7.1e-04 	 t=271s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.665
Epoch 14/40 	 lr=6.8e-04 	 t=271s  	 loss=0.018 	 val_loss=0.010 	 val_f1=0.645
Epoch 15/40 	 lr=6.6e-04 	 t=271s  	 loss=0.016 	 val_loss=0.009 	 val_f1=0.680
Epoch 16/40 	 lr=6.3e-04 	 t=271s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.665
Epoch 17/40 	 lr=6.1e-04 	 t=271s  	 loss=0.016 	 val_loss=0.009 	 val_f1=0.687
Epoch 18/40 	 lr=5.8e-04 	 t=270s  	 loss=0.016 	 val_loss=0.008 	 val_f1=0.696
Epoch 19/40 	 lr=5.5e-04 	 t=272s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.698
Epoch 20/40 	 lr=5.3e-04 	 t=270s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.705
