
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 46766952 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=279s  	 loss=0.082 	 val_loss=0.025 	 val_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=268s  	 loss=0.033 	 val_loss=0.029 	 val_f1=0.052
Epoch 3/40 	 lr=9.7e-04 	 t=269s  	 loss=0.028 	 val_loss=0.018 	 val_f1=0.292
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.025 	 val_loss=0.015 	 val_f1=0.322
Epoch 5/40 	 lr=9.2e-04 	 t=269s  	 loss=0.023 	 val_loss=0.014 	 val_f1=0.435
Epoch 6/40 	 lr=8.9e-04 	 t=268s  	 loss=0.023 	 val_loss=0.014 	 val_f1=0.468
Epoch 7/40 	 lr=8.7e-04 	 t=269s  	 loss=0.022 	 val_loss=0.012 	 val_f1=0.491
Epoch 8/40 	 lr=8.4e-04 	 t=269s  	 loss=0.020 	 val_loss=0.011 	 val_f1=0.536
Epoch 9/40 	 lr=8.2e-04 	 t=269s  	 loss=0.020 	 val_loss=0.011 	 val_f1=0.587
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.019 	 val_loss=0.009 	 val_f1=0.644
Epoch 11/40 	 lr=7.6e-04 	 t=270s  	 loss=0.019 	 val_loss=0.010 	 val_f1=0.631
Epoch 12/40 	 lr=7.4e-04 	 t=269s  	 loss=0.018 	 val_loss=0.010 	 val_f1=0.651
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.658
Epoch 14/40 	 lr=6.8e-04 	 t=271s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.659
Epoch 15/40 	 lr=6.6e-04 	 t=270s  	 loss=0.017 	 val_loss=0.008 	 val_f1=0.693
Epoch 16/40 	 lr=6.3e-04 	 t=269s  	 loss=0.016 	 val_loss=0.008 	 val_f1=0.707
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.016 	 val_loss=0.008 	 val_f1=0.703
Epoch 18/40 	 lr=5.8e-04 	 t=271s  	 loss=0.015 	 val_loss=0.008 	 val_f1=0.709
Epoch 19/40 	 lr=5.5e-04 	 t=271s  	 loss=0.015 	 val_loss=0.008 	 val_f1=0.716
Epoch 20/40 	 lr=5.3e-04 	 t=270s  	 loss=0.014 	 val_loss=0.007 	 val_f1=0.741
Epoch 21/40 	 lr=5.0e-04 	 t=270s  	 loss=0.015 	 val_loss=0.008 	 val_f1=0.725
Epoch 22/40 	 lr=4.7e-04 	 t=269s  	 loss=0.014 	 val_loss=0.007 	 val_f1=0.733
Epoch 23/40 	 lr=4.5e-04 	 t=270s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.736
Epoch 24/40 	 lr=4.2e-04 	 t=270s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.740
Epoch 25/40 	 lr=3.9e-04 	 t=270s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.749
Epoch 26/40 	 lr=3.7e-04 	 t=271s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.750
Epoch 27/40 	 lr=3.4e-04 	 t=271s  	 loss=0.012 	 val_loss=0.007 	 val_f1=0.753
Epoch 28/40 	 lr=3.2e-04 	 t=270s  	 loss=0.012 	 val_loss=0.007 	 val_f1=0.760
Epoch 29/40 	 lr=2.9e-04 	 t=270s  	 loss=0.011 	 val_loss=0.007 	 val_f1=0.764
Epoch 30/40 	 lr=2.6e-04 	 t=271s  	 loss=0.012 	 val_loss=0.007 	 val_f1=0.760
Epoch 31/40 	 lr=2.4e-04 	 t=271s  	 loss=0.011 	 val_loss=0.006 	 val_f1=0.783
Epoch 32/40 	 lr=2.1e-04 	 t=271s  	 loss=0.011 	 val_loss=0.006 	 val_f1=0.777
Epoch 33/40 	 lr=1.8e-04 	 t=271s  	 loss=0.011 	 val_loss=0.006 	 val_f1=0.777
