
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 25250504 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=268s  	 loss=0.112 	 val_loss=0.026 	 val_f1=0.002
Epoch 2/40 	 lr=1.0e-03 	 t=266s  	 loss=0.033 	 val_loss=0.020 	 val_f1=0.083
Epoch 3/40 	 lr=9.7e-04 	 t=267s  	 loss=0.030 	 val_loss=0.016 	 val_f1=0.240
Epoch 4/40 	 lr=9.5e-04 	 t=267s  	 loss=0.027 	 val_loss=0.015 	 val_f1=0.388
Epoch 5/40 	 lr=9.2e-04 	 t=267s  	 loss=0.024 	 val_loss=0.013 	 val_f1=0.448
Epoch 6/40 	 lr=8.9e-04 	 t=267s  	 loss=0.023 	 val_loss=0.012 	 val_f1=0.490
Epoch 7/40 	 lr=8.7e-04 	 t=270s  	 loss=0.021 	 val_loss=0.011 	 val_f1=0.540
Epoch 8/40 	 lr=8.4e-04 	 t=267s  	 loss=0.022 	 val_loss=0.011 	 val_f1=0.552
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.020 	 val_loss=0.011 	 val_f1=0.571
Epoch 10/40 	 lr=7.9e-04 	 t=268s  	 loss=0.020 	 val_loss=0.010 	 val_f1=0.590
Epoch 11/40 	 lr=7.6e-04 	 t=268s  	 loss=0.020 	 val_loss=0.010 	 val_f1=0.555
Epoch 12/40 	 lr=7.4e-04 	 t=269s  	 loss=0.019 	 val_loss=0.010 	 val_f1=0.623
Epoch 13/40 	 lr=7.1e-04 	 t=269s  	 loss=0.019 	 val_loss=0.009 	 val_f1=0.629
Epoch 14/40 	 lr=6.8e-04 	 t=269s  	 loss=0.019 	 val_loss=0.010 	 val_f1=0.597
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.017 	 val_loss=0.010 	 val_f1=0.644
Epoch 16/40 	 lr=6.3e-04 	 t=268s  	 loss=0.018 	 val_loss=0.010 	 val_f1=0.639
Epoch 17/40 	 lr=6.1e-04 	 t=270s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.640
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.018 	 val_loss=0.009 	 val_f1=0.667
Epoch 19/40 	 lr=5.5e-04 	 t=269s  	 loss=0.017 	 val_loss=0.009 	 val_f1=0.657
Epoch 20/40 	 lr=5.3e-04 	 t=269s  	 loss=0.016 	 val_loss=0.008 	 val_f1=0.672
Epoch 21/40 	 lr=5.0e-04 	 t=269s  	 loss=0.016 	 val_loss=0.009 	 val_f1=0.680
Epoch 22/40 	 lr=4.7e-04 	 t=269s  	 loss=0.017 	 val_loss=0.010 	 val_f1=0.660
Epoch 23/40 	 lr=4.5e-04 	 t=269s  	 loss=0.016 	 val_loss=0.008 	 val_f1=0.694
Epoch 24/40 	 lr=4.2e-04 	 t=269s  	 loss=0.015 	 val_loss=0.008 	 val_f1=0.691
Epoch 25/40 	 lr=3.9e-04 	 t=269s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.682
Epoch 26/40 	 lr=3.7e-04 	 t=269s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.697
Epoch 27/40 	 lr=3.4e-04 	 t=269s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.719
Epoch 28/40 	 lr=3.2e-04 	 t=269s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.715
Epoch 29/40 	 lr=2.9e-04 	 t=268s  	 loss=0.015 	 val_loss=0.008 	 val_f1=0.717
Epoch 30/40 	 lr=2.6e-04 	 t=269s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.714
Epoch 31/40 	 lr=2.4e-04 	 t=269s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.723
Epoch 32/40 	 lr=2.1e-04 	 t=270s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.743
Epoch 33/40 	 lr=1.8e-04 	 t=269s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.755
Epoch 34/40 	 lr=1.6e-04 	 t=269s  	 loss=0.013 	 val_loss=0.007 	 val_f1=0.744
Epoch 35/40 	 lr=1.3e-04 	 t=269s  	 loss=0.012 	 val_loss=0.007 	 val_f1=0.751
Epoch 36/40 	 lr=1.1e-04 	 t=270s  	 loss=0.011 	 val_loss=0.007 	 val_f1=0.745
Epoch 37/40 	 lr=7.9e-05 	 t=270s  	 loss=0.011 	 val_loss=0.007 	 val_f1=0.760
Epoch 38/40 	 lr=5.3e-05 	 t=270s  	 loss=0.011 	 val_loss=0.007 	 val_f1=0.759
Epoch 39/40 	 lr=2.6e-05 	 t=270s  	 loss=0.011 	 val_loss=0.007 	 val_f1=0.762
