
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24048968 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=263s  	 loss=0.118 	 val_loss=0.025 	 val_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=267s  	 loss=0.033 	 val_loss=0.022 	 val_f1=0.014
Epoch 3/40 	 lr=9.7e-04 	 t=268s  	 loss=0.032 	 val_loss=0.021 	 val_f1=0.017
Epoch 4/40 	 lr=9.5e-04 	 t=267s  	 loss=0.030 	 val_loss=0.018 	 val_f1=0.109
Epoch 5/40 	 lr=9.2e-04 	 t=267s  	 loss=0.028 	 val_loss=0.021 	 val_f1=0.092
Epoch 6/40 	 lr=8.9e-04 	 t=267s  	 loss=0.027 	 val_loss=0.016 	 val_f1=0.245
Epoch 7/40 	 lr=8.7e-04 	 t=268s  	 loss=0.025 	 val_loss=0.016 	 val_f1=0.267
Epoch 8/40 	 lr=8.4e-04 	 t=268s  	 loss=0.025 	 val_loss=0.015 	 val_f1=0.353
Epoch 9/40 	 lr=8.2e-04 	 t=268s  	 loss=0.024 	 val_loss=0.015 	 val_f1=0.363
Epoch 10/40 	 lr=7.9e-04 	 t=269s  	 loss=0.023 	 val_loss=0.015 	 val_f1=0.343
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.024 	 val_loss=0.015 	 val_f1=0.393
Epoch 12/40 	 lr=7.4e-04 	 t=269s  	 loss=0.023 	 val_loss=0.013 	 val_f1=0.477
Epoch 13/40 	 lr=7.1e-04 	 t=268s  	 loss=0.022 	 val_loss=0.013 	 val_f1=0.520
Epoch 14/40 	 lr=6.8e-04 	 t=269s  	 loss=0.022 	 val_loss=0.014 	 val_f1=0.485
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.020 	 val_loss=0.014 	 val_f1=0.514
Epoch 16/40 	 lr=6.3e-04 	 t=269s  	 loss=0.021 	 val_loss=0.013 	 val_f1=0.524
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.020 	 val_loss=0.014 	 val_f1=0.484
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.020 	 val_loss=0.011 	 val_f1=0.605
Epoch 19/40 	 lr=5.5e-04 	 t=269s  	 loss=0.019 	 val_loss=0.012 	 val_f1=0.593
Epoch 20/40 	 lr=5.3e-04 	 t=269s  	 loss=0.018 	 val_loss=0.011 	 val_f1=0.618
Epoch 21/40 	 lr=5.0e-04 	 t=269s  	 loss=0.019 	 val_loss=0.011 	 val_f1=0.642
Epoch 22/40 	 lr=4.7e-04 	 t=269s  	 loss=0.019 	 val_loss=0.011 	 val_f1=0.642
Epoch 23/40 	 lr=4.5e-04 	 t=269s  	 loss=0.018 	 val_loss=0.010 	 val_f1=0.658
Epoch 24/40 	 lr=4.2e-04 	 t=269s  	 loss=0.017 	 val_loss=0.011 	 val_f1=0.660
Epoch 25/40 	 lr=3.9e-04 	 t=270s  	 loss=0.017 	 val_loss=0.011 	 val_f1=0.661
Epoch 26/40 	 lr=3.7e-04 	 t=270s  	 loss=0.016 	 val_loss=0.011 	 val_f1=0.638
Epoch 27/40 	 lr=3.4e-04 	 t=269s  	 loss=0.016 	 val_loss=0.010 	 val_f1=0.695
Epoch 28/40 	 lr=3.2e-04 	 t=269s  	 loss=0.016 	 val_loss=0.009 	 val_f1=0.693
Epoch 29/40 	 lr=2.9e-04 	 t=270s  	 loss=0.017 	 val_loss=0.010 	 val_f1=0.694
Epoch 30/40 	 lr=2.6e-04 	 t=269s  	 loss=0.016 	 val_loss=0.010 	 val_f1=0.685
Epoch 31/40 	 lr=2.4e-04 	 t=270s  	 loss=0.016 	 val_loss=0.010 	 val_f1=0.697
Epoch 32/40 	 lr=2.1e-04 	 t=269s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.713
Epoch 33/40 	 lr=1.8e-04 	 t=270s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.714
Epoch 34/40 	 lr=1.6e-04 	 t=270s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.729
Epoch 35/40 	 lr=1.3e-04 	 t=270s  	 loss=0.015 	 val_loss=0.009 	 val_f1=0.729
Epoch 36/40 	 lr=1.1e-04 	 t=270s  	 loss=0.013 	 val_loss=0.009 	 val_f1=0.729
Epoch 37/40 	 lr=7.9e-05 	 t=270s  	 loss=0.014 	 val_loss=0.008 	 val_f1=0.738
Epoch 38/40 	 lr=5.3e-05 	 t=271s  	 loss=0.014 	 val_loss=0.009 	 val_f1=0.735
Epoch 39/40 	 lr=2.6e-05 	 t=271s  	 loss=0.013 	 val_loss=0.008 	 val_f1=0.743
Epoch 40/40 	 lr=0.0e+00 	 t=270s  	 loss=0.013 	 val_loss=0.008 	 val_f1=0.749

 -> Saving weights to ../checkpoints/2020-08-25/resnet50_avgpool_0.pt


-------------   Fold 2 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24048968 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=268s  	 loss=0.118 	 val_loss=0.025 	 val_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=269s  	 loss=0.033 	 val_loss=0.022 	 val_f1=0.011
Epoch 3/40 	 lr=9.7e-04 	 t=270s  	 loss=0.032 	 val_loss=0.020 	 val_f1=0.028
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.030 	 val_loss=0.020 	 val_f1=0.097
Epoch 5/40 	 lr=9.2e-04 	 t=269s  	 loss=0.028 	 val_loss=0.019 	 val_f1=0.154
Epoch 6/40 	 lr=8.9e-04 	 t=270s  	 loss=0.027 	 val_loss=0.017 	 val_f1=0.227
Epoch 7/40 	 lr=8.7e-04 	 t=270s  	 loss=0.025 	 val_loss=0.015 	 val_f1=0.279
Epoch 8/40 	 lr=8.4e-04 	 t=270s  	 loss=0.025 	 val_loss=0.015 	 val_f1=0.310
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.024 	 val_loss=0.014 	 val_f1=0.375
