-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=271s  	 loss=0.107 	 val_loss=0.025 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=270s  	 loss=0.033 	 val_loss=0.023 	 micro_f1=0.012 	 samples_f1=0.006
Epoch 3/40 	 lr=9.7e-04 	 t=269s  	 loss=0.029 	 val_loss=0.016 	 micro_f1=0.173 	 samples_f1=0.096
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.023 	 val_loss=0.014 	 micro_f1=0.296 	 samples_f1=0.182
Epoch 5/40 	 lr=9.2e-04 	 t=270s  	 loss=0.021 	 val_loss=0.013 	 micro_f1=0.451 	 samples_f1=0.330
Epoch 6/40 	 lr=8.9e-04 	 t=270s  	 loss=0.021 	 val_loss=0.012 	 micro_f1=0.482 	 samples_f1=0.352
Epoch 7/40 	 lr=8.7e-04 	 t=271s  	 loss=0.019 	 val_loss=0.011 	 micro_f1=0.555 	 samples_f1=0.426
Epoch 8/40 	 lr=8.4e-04 	 t=270s  	 loss=0.018 	 val_loss=0.011 	 micro_f1=0.599 	 samples_f1=0.491
Epoch 9/40 	 lr=8.2e-04 	 t=269s  	 loss=0.017 	 val_loss=0.010 	 micro_f1=0.598 	 samples_f1=0.473
Epoch 10/40 	 lr=7.9e-04 	 t=269s  	 loss=0.015 	 val_loss=0.010 	 micro_f1=0.631 	 samples_f1=0.534
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.016 	 val_loss=0.009 	 micro_f1=0.653 	 samples_f1=0.561
Epoch 12/40 	 lr=7.4e-04 	 t=270s  	 loss=0.015 	 val_loss=0.009 	 micro_f1=0.661 	 samples_f1=0.569
Epoch 13/40 	 lr=7.1e-04 	 t=269s  	 loss=0.014 	 val_loss=0.010 	 micro_f1=0.666 	 samples_f1=0.582
Epoch 14/40 	 lr=6.8e-04 	 t=271s  	 loss=0.014 	 val_loss=0.010 	 micro_f1=0.668 	 samples_f1=0.579
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.013 	 val_loss=0.009 	 micro_f1=0.701 	 samples_f1=0.628
Epoch 16/40 	 lr=6.3e-04 	 t=270s  	 loss=0.012 	 val_loss=0.009 	 micro_f1=0.692 	 samples_f1=0.626
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.012 	 val_loss=0.009 	 micro_f1=0.700 	 samples_f1=0.627
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.012 	 val_loss=0.008 	 micro_f1=0.708 	 samples_f1=0.650
Epoch 19/40 	 lr=5.5e-04 	 t=269s  	 loss=0.011 	 val_loss=0.008 	 micro_f1=0.720 	 samples_f1=0.655
Epoch 20/40 	 lr=5.3e-04 	 t=270s  	 loss=0.010 	 val_loss=0.008 	 micro_f1=0.736 	 samples_f1=0.695
