
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=272s  	 loss=0.1097 	 val_loss=0.0285 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=278s  	 loss=0.0327 	 val_loss=0.0218 	 micro_f1=0.011 	 samples_f1=0.005
Epoch 3/40 	 lr=9.7e-04 	 t=279s  	 loss=0.0297 	 val_loss=0.0172 	 micro_f1=0.148 	 samples_f1=0.082
Epoch 4/40 	 lr=9.5e-04 	 t=279s  	 loss=0.0259 	 val_loss=0.0162 	 micro_f1=0.238 	 samples_f1=0.138
Epoch 5/40 	 lr=9.2e-04 	 t=279s  	 loss=0.0221 	 val_loss=0.0147 	 micro_f1=0.394 	 samples_f1=0.271
Epoch 6/40 	 lr=8.9e-04 	 t=280s  	 loss=0.0212 	 val_loss=0.0124 	 micro_f1=0.509 	 samples_f1=0.388
Epoch 7/40 	 lr=8.7e-04 	 t=279s  	 loss=0.0184 	 val_loss=0.0109 	 micro_f1=0.548 	 samples_f1=0.422
Epoch 8/40 	 lr=8.4e-04 	 t=279s  	 loss=0.0181 	 val_loss=0.0109 	 micro_f1=0.567 	 samples_f1=0.445
Epoch 9/40 	 lr=8.2e-04 	 t=277s  	 loss=0.0168 	 val_loss=0.0110 	 micro_f1=0.605 	 samples_f1=0.504
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.0157 	 val_loss=0.0100 	 micro_f1=0.595 	 samples_f1=0.468
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.0160 	 val_loss=0.0103 	 micro_f1=0.634 	 samples_f1=0.543
Epoch 12/40 	 lr=7.4e-04 	 t=269s  	 loss=0.0147 	 val_loss=0.0086 	 micro_f1=0.665 	 samples_f1=0.573
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.0139 	 val_loss=0.0083 	 micro_f1=0.667 	 samples_f1=0.557
Epoch 14/40 	 lr=6.8e-04 	 t=270s  	 loss=0.0142 	 val_loss=0.0085 	 micro_f1=0.680 	 samples_f1=0.566
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.0122 	 val_loss=0.0084 	 micro_f1=0.697 	 samples_f1=0.621
Epoch 16/40 	 lr=6.3e-04 	 t=268s  	 loss=0.0127 	 val_loss=0.0089 	 micro_f1=0.694 	 samples_f1=0.630
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.0118 	 val_loss=0.0085 	 micro_f1=0.685 	 samples_f1=0.588
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.0124 	 val_loss=0.0077 	 micro_f1=0.722 	 samples_f1=0.643
Epoch 19/40 	 lr=5.5e-04 	 t=270s  	 loss=0.0112 	 val_loss=0.0086 	 micro_f1=0.707 	 samples_f1=0.656
Epoch 20/40 	 lr=5.3e-04 	 t=269s  	 loss=0.0110 	 val_loss=0.0074 	 micro_f1=0.734 	 samples_f1=0.669
Epoch 21/40 	 lr=5.0e-04 	 t=270s  	 loss=0.0111 	 val_loss=0.0078 	 micro_f1=0.733 	 samples_f1=0.677
Epoch 22/40 	 lr=4.7e-04 	 t=269s  	 loss=0.0112 	 val_loss=0.0082 	 micro_f1=0.718 	 samples_f1=0.664
Epoch 23/40 	 lr=4.5e-04 	 t=269s  	 loss=0.0107 	 val_loss=0.0068 	 micro_f1=0.752 	 samples_f1=0.688
Epoch 24/40 	 lr=4.2e-04 	 t=269s  	 loss=0.0096 	 val_loss=0.0074 	 micro_f1=0.744 	 samples_f1=0.692
Epoch 25/40 	 lr=3.9e-04 	 t=270s  	 loss=0.0095 	 val_loss=0.0076 	 micro_f1=0.739 	 samples_f1=0.684
Epoch 26/40 	 lr=3.7e-04 	 t=268s  	 loss=0.0088 	 val_loss=0.0070 	 micro_f1=0.743 	 samples_f1=0.681
Epoch 27/40 	 lr=3.4e-04 	 t=270s  	 loss=0.0084 	 val_loss=0.0071 	 micro_f1=0.761 	 samples_f1=0.709
Epoch 28/40 	 lr=3.2e-04 	 t=269s  	 loss=0.0088 	 val_loss=0.0071 	 micro_f1=0.759 	 samples_f1=0.723
Epoch 29/40 	 lr=2.9e-04 	 t=269s  	 loss=0.0091 	 val_loss=0.0073 	 micro_f1=0.752 	 samples_f1=0.711
Epoch 30/40 	 lr=2.6e-04 	 t=270s  	 loss=0.0086 	 val_loss=0.0068 	 micro_f1=0.766 	 samples_f1=0.701
Epoch 31/40 	 lr=2.4e-04 	 t=269s  	 loss=0.0084 	 val_loss=0.0065 	 micro_f1=0.774 	 samples_f1=0.729
Epoch 32/40 	 lr=2.1e-04 	 t=270s  	 loss=0.0076 	 val_loss=0.0063 	 micro_f1=0.782 	 samples_f1=0.746
Epoch 33/40 	 lr=1.8e-04 	 t=268s  	 loss=0.0078 	 val_loss=0.0065 	 micro_f1=0.778 	 samples_f1=0.731
Epoch 34/40 	 lr=1.6e-04 	 t=269s  	 loss=0.0080 	 val_loss=0.0061 	 micro_f1=0.788 	 samples_f1=0.738
Epoch 35/40 	 lr=1.3e-04 	 t=270s  	 loss=0.0073 	 val_loss=0.0063 	 micro_f1=0.782 	 samples_f1=0.736
Epoch 36/40 	 lr=1.1e-04 	 t=270s  	 loss=0.0062 	 val_loss=0.0066 	 micro_f1=0.775 	 samples_f1=0.733
Epoch 37/40 	 lr=7.9e-05 	 t=270s  	 loss=0.0068 	 val_loss=0.0059 	 micro_f1=0.800 	 samples_f1=0.754
Epoch 38/40 	 lr=5.3e-05 	 t=271s  	 loss=0.0068 	 val_loss=0.0062 	 micro_f1=0.791 	 samples_f1=0.754
Epoch 39/40 	 lr=2.6e-05 	 t=271s  	 loss=0.0064 	 val_loss=0.0062 	 micro_f1=0.790 	 samples_f1=0.750
Epoch 40/40 	 lr=0.0e+00 	 t=270s  	 loss=0.0061 	 val_loss=0.0056 	 micro_f1=0.809 	 samples_f1=0.757

 -> Saving weights to ../checkpoints/2020-08-28/resnest50_fast_1s1x64d_conf_0.pt

-------------   Fold 2 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=270s  	 loss=0.1094 	 val_loss=0.0253 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=270s  	 loss=0.0334 	 val_loss=0.0227 	 micro_f1=0.003 	 samples_f1=0.001
Epoch 3/40 	 lr=9.7e-04 	 t=270s  	 loss=0.0303 	 val_loss=0.0181 	 micro_f1=0.107 	 samples_f1=0.058
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.0258 	 val_loss=0.0153 	 micro_f1=0.289 	 samples_f1=0.175
Epoch 5/40 	 lr=9.2e-04 	 t=270s  	 loss=0.0217 	 val_loss=0.0135 	 micro_f1=0.439 	 samples_f1=0.305
Epoch 6/40 	 lr=8.9e-04 	 t=269s  	 loss=0.0205 	 val_loss=0.0116 	 micro_f1=0.448 	 samples_f1=0.306
Epoch 7/40 	 lr=8.7e-04 	 t=269s  	 loss=0.0179 	 val_loss=0.0104 	 micro_f1=0.517 	 samples_f1=0.375
Epoch 8/40 	 lr=8.4e-04 	 t=269s  	 loss=0.0175 	 val_loss=0.0107 	 micro_f1=0.568 	 samples_f1=0.448
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.0164 	 val_loss=0.0099 	 micro_f1=0.637 	 samples_f1=0.547
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.0152 	 val_loss=0.0086 	 micro_f1=0.669 	 samples_f1=0.561
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.0155 	 val_loss=0.0090 	 micro_f1=0.654 	 samples_f1=0.545
