
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=270s  	 loss=0.1098 	 val_loss=0.0258 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=268s  	 loss=0.0327 	 val_loss=0.0281 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 3/40 	 lr=9.7e-04 	 t=268s  	 loss=0.0304 	 val_loss=0.0171 	 micro_f1=0.104 	 samples_f1=0.055
Epoch 4/40 	 lr=9.5e-04 	 t=268s  	 loss=0.0259 	 val_loss=0.0155 	 micro_f1=0.242 	 samples_f1=0.142
Epoch 5/40 	 lr=9.2e-04 	 t=269s  	 loss=0.0216 	 val_loss=0.0134 	 micro_f1=0.436 	 samples_f1=0.308
Epoch 6/40 	 lr=8.9e-04 	 t=268s  	 loss=0.0203 	 val_loss=0.0123 	 micro_f1=0.525 	 samples_f1=0.400
Epoch 7/40 	 lr=8.7e-04 	 t=269s  	 loss=0.0174 	 val_loss=0.0102 	 micro_f1=0.566 	 samples_f1=0.433
Epoch 8/40 	 lr=8.4e-04 	 t=268s  	 loss=0.0171 	 val_loss=0.0105 	 micro_f1=0.588 	 samples_f1=0.474
Epoch 9/40 	 lr=8.2e-04 	 t=270s  	 loss=0.0157 	 val_loss=0.0105 	 micro_f1=0.612 	 samples_f1=0.512
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.0146 	 val_loss=0.0093 	 micro_f1=0.639 	 samples_f1=0.533
Epoch 11/40 	 lr=7.6e-04 	 t=270s  	 loss=0.0148 	 val_loss=0.0101 	 micro_f1=0.636 	 samples_f1=0.539
Epoch 12/40 	 lr=7.4e-04 	 t=270s  	 loss=0.0138 	 val_loss=0.0087 	 micro_f1=0.676 	 samples_f1=0.593
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.0130 	 val_loss=0.0093 	 micro_f1=0.639 	 samples_f1=0.522
Epoch 14/40 	 lr=6.8e-04 	 t=271s  	 loss=0.0132 	 val_loss=0.0090 	 micro_f1=0.675 	 samples_f1=0.574
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.0110 	 val_loss=0.0087 	 micro_f1=0.690 	 samples_f1=0.611
Epoch 16/40 	 lr=6.3e-04 	 t=270s  	 loss=0.0117 	 val_loss=0.0090 	 micro_f1=0.670 	 samples_f1=0.593
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.0107 	 val_loss=0.0081 	 micro_f1=0.683 	 samples_f1=0.575
Epoch 18/40 	 lr=5.8e-04 	 t=270s  	 loss=0.0113 	 val_loss=0.0077 	 micro_f1=0.730 	 samples_f1=0.670
Epoch 19/40 	 lr=5.5e-04 	 t=270s  	 loss=0.0102 	 val_loss=0.0089 	 micro_f1=0.708 	 samples_f1=0.670
Epoch 20/40 	 lr=5.3e-04 	 t=269s  	 loss=0.0096 	 val_loss=0.0077 	 micro_f1=0.724 	 samples_f1=0.659
Epoch 21/40 	 lr=5.0e-04 	 t=270s  	 loss=0.0101 	 val_loss=0.0078 	 micro_f1=0.736 	 samples_f1=0.676
Epoch 22/40 	 lr=4.7e-04 	 t=269s  	 loss=0.0099 	 val_loss=0.0083 	 micro_f1=0.724 	 samples_f1=0.679
Epoch 23/40 	 lr=4.5e-04 	 t=268s  	 loss=0.0094 	 val_loss=0.0071 	 micro_f1=0.750 	 samples_f1=0.687
Epoch 24/40 	 lr=4.2e-04 	 t=268s  	 loss=0.0085 	 val_loss=0.0072 	 micro_f1=0.750 	 samples_f1=0.700
Epoch 25/40 	 lr=3.9e-04 	 t=270s  	 loss=0.0086 	 val_loss=0.0084 	 micro_f1=0.724 	 samples_f1=0.674
Epoch 26/40 	 lr=3.7e-04 	 t=269s  	 loss=0.0077 	 val_loss=0.0072 	 micro_f1=0.747 	 samples_f1=0.690
Epoch 27/40 	 lr=3.4e-04 	 t=269s  	 loss=0.0073 	 val_loss=0.0072 	 micro_f1=0.755 	 samples_f1=0.710
Epoch 28/40 	 lr=3.2e-04 	 t=269s  	 loss=0.0080 	 val_loss=0.0068 	 micro_f1=0.765 	 samples_f1=0.719
Epoch 29/40 	 lr=2.9e-04 	 t=269s  	 loss=0.0079 	 val_loss=0.0075 	 micro_f1=0.758 	 samples_f1=0.718
