-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=272s  	 loss=0.1487 	 val_loss=0.0340 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=270s  	 loss=0.0798 	 val_loss=0.0291 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 3/40 	 lr=9.7e-04 	 t=270s  	 loss=0.0779 	 val_loss=0.0254 	 micro_f1=0.121 	 samples_f1=0.064
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.0748 	 val_loss=0.0242 	 micro_f1=0.287 	 samples_f1=0.176
Epoch 5/40 	 lr=9.2e-04 	 t=269s  	 loss=0.0719 	 val_loss=0.0214 	 micro_f1=0.442 	 samples_f1=0.301
Epoch 6/40 	 lr=8.9e-04 	 t=270s  	 loss=0.0711 	 val_loss=0.0208 	 micro_f1=0.523 	 samples_f1=0.384
Epoch 7/40 	 lr=8.7e-04 	 t=270s  	 loss=0.0691 	 val_loss=0.0193 	 micro_f1=0.577 	 samples_f1=0.440
Epoch 8/40 	 lr=8.4e-04 	 t=269s  	 loss=0.0690 	 val_loss=0.0205 	 micro_f1=0.545 	 samples_f1=0.399
Epoch 9/40 	 lr=8.2e-04 	 t=271s  	 loss=0.0680 	 val_loss=0.0188 	 micro_f1=0.635 	 samples_f1=0.514
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.0672 	 val_loss=0.0189 	 micro_f1=0.672 	 samples_f1=0.561
Epoch 11/40 	 lr=7.6e-04 	 t=271s  	 loss=0.0674 	 val_loss=0.0197 	 micro_f1=0.656 	 samples_f1=0.549
Epoch 12/40 	 lr=7.4e-04 	 t=270s  	 loss=0.0666 	 val_loss=0.0192 	 micro_f1=0.679 	 samples_f1=0.577
Epoch 13/40 	 lr=7.1e-04 	 t=270s  	 loss=0.0661 	 val_loss=0.0172 	 micro_f1=0.689 	 samples_f1=0.571
