
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=271s  	 loss=0.1178 	 val_loss=0.0269 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=268s  	 loss=0.0441 	 val_loss=0.0268 	 micro_f1=0.001 	 samples_f1=0.000
Epoch 3/40 	 lr=9.7e-04 	 t=269s  	 loss=0.0411 	 val_loss=0.0278 	 micro_f1=0.003 	 samples_f1=0.001
Epoch 4/40 	 lr=9.5e-04 	 t=269s  	 loss=0.0378 	 val_loss=0.0210 	 micro_f1=0.059 	 samples_f1=0.027
Epoch 5/40 	 lr=9.2e-04 	 t=268s  	 loss=0.0389 	 val_loss=0.0193 	 micro_f1=0.155 	 samples_f1=0.084
Epoch 6/40 	 lr=8.9e-04 	 t=269s  	 loss=0.0341 	 val_loss=0.0145 	 micro_f1=0.277 	 samples_f1=0.167
Epoch 7/40 	 lr=8.7e-04 	 t=268s  	 loss=0.0347 	 val_loss=0.0151 	 micro_f1=0.334 	 samples_f1=0.213
Epoch 8/40 	 lr=8.4e-04 	 t=269s  	 loss=0.0311 	 val_loss=0.0133 	 micro_f1=0.474 	 samples_f1=0.341
Epoch 9/40 	 lr=8.2e-04 	 t=269s  	 loss=0.0288 	 val_loss=0.0119 	 micro_f1=0.523 	 samples_f1=0.391
Epoch 10/40 	 lr=7.9e-04 	 t=270s  	 loss=0.0270 	 val_loss=0.0141 	 micro_f1=0.532 	 samples_f1=0.407
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.0277 	 val_loss=0.0103 	 micro_f1=0.589 	 samples_f1=0.469
Epoch 12/40 	 lr=7.4e-04 	 t=268s  	 loss=0.0263 	 val_loss=0.0106 	 micro_f1=0.603 	 samples_f1=0.512
Epoch 13/40 	 lr=7.1e-04 	 t=269s  	 loss=0.0255 	 val_loss=0.0091 	 micro_f1=0.633 	 samples_f1=0.520
Epoch 14/40 	 lr=6.8e-04 	 t=269s  	 loss=0.0250 	 val_loss=0.0094 	 micro_f1=0.627 	 samples_f1=0.500
Epoch 15/40 	 lr=6.6e-04 	 t=268s  	 loss=0.0230 	 val_loss=0.0095 	 micro_f1=0.651 	 samples_f1=0.561
Epoch 16/40 	 lr=6.3e-04 	 t=269s  	 loss=0.0249 	 val_loss=0.0108 	 micro_f1=0.637 	 samples_f1=0.542
Epoch 17/40 	 lr=6.1e-04 	 t=269s  	 loss=0.0231 	 val_loss=0.0088 	 micro_f1=0.679 	 samples_f1=0.603
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.0258 	 val_loss=0.0092 	 micro_f1=0.674 	 samples_f1=0.579
Epoch 19/40 	 lr=5.5e-04 	 t=269s  	 loss=0.0242 	 val_loss=0.0084 	 micro_f1=0.697 	 samples_f1=0.618
Epoch 20/40 	 lr=5.3e-04 	 t=273s  	 loss=0.0224 	 val_loss=0.0087 	 micro_f1=0.698 	 samples_f1=0.615
Epoch 21/40 	 lr=5.0e-04 	 t=279s  	 loss=0.0193 	 val_loss=0.0084 	 micro_f1=0.713 	 samples_f1=0.639
Epoch 22/40 	 lr=4.7e-04 	 t=279s  	 loss=0.0213 	 val_loss=0.0083 	 micro_f1=0.712 	 samples_f1=0.653
Epoch 23/40 	 lr=4.5e-04 	 t=281s  	 loss=0.0215 	 val_loss=0.0080 	 micro_f1=0.723 	 samples_f1=0.654
Epoch 24/40 	 lr=4.2e-04 	 t=280s  	 loss=0.0204 	 val_loss=0.0072 	 micro_f1=0.726 	 samples_f1=0.642
Epoch 25/40 	 lr=3.9e-04 	 t=279s  	 loss=0.0207 	 val_loss=0.0085 	 micro_f1=0.724 	 samples_f1=0.669
Epoch 26/40 	 lr=3.7e-04 	 t=279s  	 loss=0.0206 	 val_loss=0.0077 	 micro_f1=0.735 	 samples_f1=0.688
