
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Loaded pretrained weights for efficientnet-b7
    -> 64463064 trainable parameters

Epoch 1/40 	 lr=1.0e-04 	 t=422s  	 loss=0.2112 	 val_loss=0.0258 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=2.0e-04 	 t=422s  	 loss=0.0341 	 val_loss=0.0250 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 3/40 	 lr=1.9e-04 	 t=423s  	 loss=0.0343 	 val_loss=0.0255 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 4/40 	 lr=1.9e-04 	 t=423s  	 loss=0.0326 	 val_loss=0.0223 	 micro_f1=0.001 	 samples_f1=0.001
Epoch 5/40 	 lr=1.8e-04 	 t=424s  	 loss=0.0299 	 val_loss=0.0187 	 micro_f1=0.026 	 samples_f1=0.013
Epoch 6/40 	 lr=1.8e-04 	 t=424s  	 loss=0.0280 	 val_loss=0.0164 	 micro_f1=0.239 	 samples_f1=0.144
Epoch 7/40 	 lr=1.7e-04 	 t=423s  	 loss=0.0250 	 val_loss=0.0131 	 micro_f1=0.356 	 samples_f1=0.228
Epoch 8/40 	 lr=1.7e-04 	 t=425s  	 loss=0.0238 	 val_loss=0.0115 	 micro_f1=0.483 	 samples_f1=0.343
Epoch 9/40 	 lr=1.6e-04 	 t=424s  	 loss=0.0219 	 val_loss=0.0109 	 micro_f1=0.557 	 samples_f1=0.424
Epoch 10/40 	 lr=1.6e-04 	 t=422s  	 loss=0.0200 	 val_loss=0.0094 	 micro_f1=0.620 	 samples_f1=0.496
Epoch 11/40 	 lr=1.5e-04 	 t=423s  	 loss=0.0196 	 val_loss=0.0090 	 micro_f1=0.653 	 samples_f1=0.546
Epoch 12/40 	 lr=1.5e-04 	 t=424s  	 loss=0.0185 	 val_loss=0.0087 	 micro_f1=0.657 	 samples_f1=0.547
Epoch 13/40 	 lr=1.4e-04 	 t=423s  	 loss=0.0181 	 val_loss=0.0083 	 micro_f1=0.667 	 samples_f1=0.554
Epoch 14/40 	 lr=1.4e-04 	 t=423s  	 loss=0.0169 	 val_loss=0.0082 	 micro_f1=0.699 	 samples_f1=0.612
Epoch 15/40 	 lr=1.3e-04 	 t=422s  	 loss=0.0160 	 val_loss=0.0078 	 micro_f1=0.714 	 samples_f1=0.634
Epoch 16/40 	 lr=1.3e-04 	 t=423s  	 loss=0.0156 	 val_loss=0.0077 	 micro_f1=0.710 	 samples_f1=0.621
Epoch 17/40 	 lr=1.2e-04 	 t=421s  	 loss=0.0152 	 val_loss=0.0076 	 micro_f1=0.710 	 samples_f1=0.615
Epoch 18/40 	 lr=1.2e-04 	 t=423s  	 loss=0.0146 	 val_loss=0.0072 	 micro_f1=0.732 	 samples_f1=0.640
Epoch 19/40 	 lr=1.1e-04 	 t=422s  	 loss=0.0141 	 val_loss=0.0074 	 micro_f1=0.730 	 samples_f1=0.655
Epoch 20/40 	 lr=1.1e-04 	 t=424s  	 loss=0.0142 	 val_loss=0.0070 	 micro_f1=0.739 	 samples_f1=0.647
Epoch 21/40 	 lr=1.0e-04 	 t=423s  	 loss=0.0135 	 val_loss=0.0072 	 micro_f1=0.743 	 samples_f1=0.659
Epoch 22/40 	 lr=9.5e-05 	 t=423s  	 loss=0.0128 	 val_loss=0.0066 	 micro_f1=0.757 	 samples_f1=0.671
Epoch 23/40 	 lr=8.9e-05 	 t=424s  	 loss=0.0131 	 val_loss=0.0067 	 micro_f1=0.754 	 samples_f1=0.672
Epoch 24/40 	 lr=8.4e-05 	 t=422s  	 loss=0.0127 	 val_loss=0.0067 	 micro_f1=0.752 	 samples_f1=0.671
Epoch 25/40 	 lr=7.9e-05 	 t=423s  	 loss=0.0123 	 val_loss=0.0065 	 micro_f1=0.764 	 samples_f1=0.683
Epoch 26/40 	 lr=7.4e-05 	 t=422s  	 loss=0.0127 	 val_loss=0.0066 	 micro_f1=0.761 	 samples_f1=0.672
Epoch 27/40 	 lr=6.8e-05 	 t=423s  	 loss=0.0120 	 val_loss=0.0064 	 micro_f1=0.771 	 samples_f1=0.689
Epoch 28/40 	 lr=6.3e-05 	 t=423s  	 loss=0.0115 	 val_loss=0.0065 	 micro_f1=0.763 	 samples_f1=0.679
Epoch 29/40 	 lr=5.8e-05 	 t=424s  	 loss=0.0112 	 val_loss=0.0064 	 micro_f1=0.766 	 samples_f1=0.684
Epoch 30/40 	 lr=5.3e-05 	 t=422s  	 loss=0.0109 	 val_loss=0.0063 	 micro_f1=0.777 	 samples_f1=0.698
Epoch 31/40 	 lr=4.7e-05 	 t=422s  	 loss=0.0113 	 val_loss=0.0064 	 micro_f1=0.776 	 samples_f1=0.694
Epoch 32/40 	 lr=4.2e-05 	 t=422s  	 loss=0.0109 	 val_loss=0.0063 	 micro_f1=0.781 	 samples_f1=0.705
Epoch 33/40 	 lr=3.7e-05 	 t=423s  	 loss=0.0107 	 val_loss=0.0063 	 micro_f1=0.776 	 samples_f1=0.695
Epoch 34/40 	 lr=3.2e-05 	 t=421s  	 loss=0.0107 	 val_loss=0.0064 	 micro_f1=0.774 	 samples_f1=0.683
Epoch 35/40 	 lr=2.6e-05 	 t=423s  	 loss=0.0104 	 val_loss=0.0064 	 micro_f1=0.777 	 samples_f1=0.683
Epoch 36/40 	 lr=2.1e-05 	 t=421s  	 loss=0.0105 	 val_loss=0.0063 	 micro_f1=0.786 	 samples_f1=0.698
Epoch 37/40 	 lr=1.6e-05 	 t=423s  	 loss=0.0103 	 val_loss=0.0062 	 micro_f1=0.781 	 samples_f1=0.689
Epoch 38/40 	 lr=1.1e-05 	 t=421s  	 loss=0.0100 	 val_loss=0.0061 	 micro_f1=0.787 	 samples_f1=0.706
Epoch 39/40 	 lr=5.3e-06 	 t=423s  	 loss=0.0104 	 val_loss=0.0061 	 micro_f1=0.790 	 samples_f1=0.704
Epoch 40/40 	 lr=0.0e+00 	 t=421s  	 loss=0.0101 	 val_loss=0.0062 	 micro_f1=0.785 	 samples_f1=0.699

 -> Saving weights to ../checkpoints/2020-09-01/efficientnet-b7_conf_0.pt


-------------   Fold 2 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Loaded pretrained weights for efficientnet-b7
    -> 64463064 trainable parameters

Epoch 1/40 	 lr=1.0e-04 	 t=424s  	 loss=0.2105 	 val_loss=0.0261 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=2.0e-04 	 t=425s  	 loss=0.0341 	 val_loss=0.0250 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 3/40 	 lr=1.9e-04 	 t=425s  	 loss=0.0342 	 val_loss=0.0250 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 4/40 	 lr=1.9e-04 	 t=425s  	 loss=0.0322 	 val_loss=0.0215 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 5/40 	 lr=1.8e-04 	 t=425s  	 loss=0.0297 	 val_loss=0.0179 	 micro_f1=0.028 	 samples_f1=0.014
Epoch 6/40 	 lr=1.8e-04 	 t=425s  	 loss=0.0283 	 val_loss=0.0166 	 micro_f1=0.180 	 samples_f1=0.102
Epoch 7/40 	 lr=1.7e-04 	 t=424s  	 loss=0.0254 	 val_loss=0.0143 	 micro_f1=0.325 	 samples_f1=0.203
Epoch 8/40 	 lr=1.7e-04 	 t=425s  	 loss=0.0242 	 val_loss=0.0115 	 micro_f1=0.422 	 samples_f1=0.278
Epoch 9/40 	 lr=1.6e-04 	 t=425s  	 loss=0.0224 	 val_loss=0.0111 	 micro_f1=0.529 	 samples_f1=0.402
Epoch 10/40 	 lr=1.6e-04 	 t=424s  	 loss=0.0207 	 val_loss=0.0097 	 micro_f1=0.592 	 samples_f1=0.462
Epoch 11/40 	 lr=1.5e-04 	 t=425s  	 loss=0.0202 	 val_loss=0.0092 	 micro_f1=0.627 	 samples_f1=0.505
Epoch 12/40 	 lr=1.5e-04 	 t=425s  	 loss=0.0189 	 val_loss=0.0087 	 micro_f1=0.655 	 samples_f1=0.548
Epoch 13/40 	 lr=1.4e-04 	 t=425s  	 loss=0.0187 	 val_loss=0.0081 	 micro_f1=0.662 	 samples_f1=0.537
