
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Using cache found in /home/theo/.cache/torch/hub/facebookresearch_WSL-Images_master
    -> 87283272 trainable parameters

Epoch 1/40 	 lr=2.5e-04 	 t=316s  	 loss=0.0866 	 val_loss=0.0252 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=5.0e-04 	 t=316s  	 loss=0.0341 	 val_loss=0.0247 	 micro_f1=0.073 	 samples_f1=0.036
Epoch 3/40 	 lr=4.9e-04 	 t=315s  	 loss=0.0280 	 val_loss=0.0165 	 micro_f1=0.251 	 samples_f1=0.153
Epoch 4/40 	 lr=4.7e-04 	 t=315s  	 loss=0.0237 	 val_loss=0.0154 	 micro_f1=0.438 	 samples_f1=0.335
Epoch 5/40 	 lr=4.6e-04 	 t=315s  	 loss=0.0211 	 val_loss=0.0159 	 micro_f1=0.386 	 samples_f1=0.269
Epoch 6/40 	 lr=4.5e-04 	 t=316s  	 loss=0.0201 	 val_loss=0.0142 	 micro_f1=0.495 	 samples_f1=0.404
Epoch 7/40 	 lr=4.3e-04 	 t=315s  	 loss=0.0187 	 val_loss=0.0161 	 micro_f1=0.397 	 samples_f1=0.309
Epoch 8/40 	 lr=4.2e-04 	 t=316s  	 loss=0.0170 	 val_loss=0.0126 	 micro_f1=0.578 	 samples_f1=0.501
Epoch 9/40 	 lr=4.1e-04 	 t=315s  	 loss=0.0167 	 val_loss=0.0108 	 micro_f1=0.628 	 samples_f1=0.555
Epoch 10/40 	 lr=3.9e-04 	 t=316s  	 loss=0.0152 	 val_loss=0.0105 	 micro_f1=0.629 	 samples_f1=0.562
Epoch 11/40 	 lr=3.8e-04 	 t=316s  	 loss=0.0156 	 val_loss=0.0117 	 micro_f1=0.618 	 samples_f1=0.558
Epoch 12/40 	 lr=3.7e-04 	 t=316s  	 loss=0.0147 	 val_loss=0.0113 	 micro_f1=0.611 	 samples_f1=0.543
Epoch 13/40 	 lr=3.6e-04 	 t=316s  	 loss=0.0135 	 val_loss=0.0104 	 micro_f1=0.654 	 samples_f1=0.618
Epoch 14/40 	 lr=3.4e-04 	 t=317s  	 loss=0.0129 	 val_loss=0.0145 	 micro_f1=0.503 	 samples_f1=0.444
Epoch 15/40 	 lr=3.3e-04 	 t=315s  	 loss=0.0135 	 val_loss=0.0102 	 micro_f1=0.677 	 samples_f1=0.632
Epoch 16/40 	 lr=3.2e-04 	 t=315s  	 loss=0.0121 	 val_loss=0.0094 	 micro_f1=0.697 	 samples_f1=0.665
Epoch 17/40 	 lr=3.0e-04 	 t=316s  	 loss=0.0124 	 val_loss=0.0093 	 micro_f1=0.694 	 samples_f1=0.645
Epoch 18/40 	 lr=2.9e-04 	 t=316s  	 loss=0.0109 	 val_loss=0.0091 	 micro_f1=0.696 	 samples_f1=0.651
Epoch 19/40 	 lr=2.8e-04 	 t=315s  	 loss=0.0110 	 val_loss=0.0090 	 micro_f1=0.704 	 samples_f1=0.666
Epoch 20/40 	 lr=2.6e-04 	 t=316s  	 loss=0.0103 	 val_loss=0.0080 	 micro_f1=0.735 	 samples_f1=0.696
Epoch 21/40 	 lr=2.5e-04 	 t=316s  	 loss=0.0110 	 val_loss=0.0104 	 micro_f1=0.650 	 samples_f1=0.590
Epoch 22/40 	 lr=2.4e-04 	 t=315s  	 loss=0.0099 	 val_loss=0.0082 	 micro_f1=0.732 	 samples_f1=0.696
Epoch 23/40 	 lr=2.2e-04 	 t=316s  	 loss=0.0101 	 val_loss=0.0079 	 micro_f1=0.747 	 samples_f1=0.726
Epoch 24/40 	 lr=2.1e-04 	 t=316s  	 loss=0.0091 	 val_loss=0.0080 	 micro_f1=0.744 	 samples_f1=0.723
Epoch 25/40 	 lr=2.0e-04 	 t=316s  	 loss=0.0096 	 val_loss=0.0081 	 micro_f1=0.737 	 samples_f1=0.703
Epoch 26/40 	 lr=1.8e-04 	 t=317s  	 loss=0.0093 	 val_loss=0.0081 	 micro_f1=0.737 	 samples_f1=0.717
Epoch 27/40 	 lr=1.7e-04 	 t=316s  	 loss=0.0086 	 val_loss=0.0076 	 micro_f1=0.753 	 samples_f1=0.732
Epoch 28/40 	 lr=1.6e-04 	 t=315s  	 loss=0.0083 	 val_loss=0.0080 	 micro_f1=0.736 	 samples_f1=0.711
Epoch 29/40 	 lr=1.4e-04 	 t=316s  	 loss=0.0078 	 val_loss=0.0074 	 micro_f1=0.761 	 samples_f1=0.735
Epoch 30/40 	 lr=1.3e-04 	 t=316s  	 loss=0.0081 	 val_loss=0.0077 	 micro_f1=0.760 	 samples_f1=0.738
Epoch 31/40 	 lr=1.2e-04 	 t=316s  	 loss=0.0075 	 val_loss=0.0073 	 micro_f1=0.768 	 samples_f1=0.757
Epoch 32/40 	 lr=1.1e-04 	 t=317s  	 loss=0.0077 	 val_loss=0.0071 	 micro_f1=0.771 	 samples_f1=0.752
Epoch 33/40 	 lr=9.2e-05 	 t=316s  	 loss=0.0075 	 val_loss=0.0071 	 micro_f1=0.773 	 samples_f1=0.755
Epoch 34/40 	 lr=7.9e-05 	 t=316s  	 loss=0.0072 	 val_loss=0.0075 	 micro_f1=0.763 	 samples_f1=0.731
Epoch 35/40 	 lr=6.6e-05 	 t=317s  	 loss=0.0070 	 val_loss=0.0069 	 micro_f1=0.780 	 samples_f1=0.756
Epoch 36/40 	 lr=5.3e-05 	 t=316s  	 loss=0.0066 	 val_loss=0.0068 	 micro_f1=0.780 	 samples_f1=0.763
Epoch 37/40 	 lr=3.9e-05 	 t=316s  	 loss=0.0068 	 val_loss=0.0068 	 micro_f1=0.783 	 samples_f1=0.761
Epoch 38/40 	 lr=2.6e-05 	 t=317s  	 loss=0.0064 	 val_loss=0.0068 	 micro_f1=0.783 	 samples_f1=0.765
Epoch 39/40 	 lr=1.3e-05 	 t=317s  	 loss=0.0067 	 val_loss=0.0067 	 micro_f1=0.784 	 samples_f1=0.768
Epoch 40/40 	 lr=0.0e+00 	 t=316s  	 loss=0.0067 	 val_loss=0.0069 	 micro_f1=0.780 	 samples_f1=0.762

 -> Saving weights to ../checkpoints/2020-09-02/resnext101_32x8d_wsl_conf_0.pt


-------------   Fold 2 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Using cache found in /home/theo/.cache/torch/hub/facebookresearch_WSL-Images_master
    -> 87283272 trainable parameters

Epoch 1/40 	 lr=2.5e-04 	 t=319s  	 loss=0.0866 	 val_loss=0.0280 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=5.0e-04 	 t=319s  	 loss=0.0337 	 val_loss=0.0230 	 micro_f1=0.031 	 samples_f1=0.014
Epoch 3/40 	 lr=4.9e-04 	 t=319s  	 loss=0.0286 	 val_loss=0.0169 	 micro_f1=0.212 	 samples_f1=0.124
Epoch 4/40 	 lr=4.7e-04 	 t=319s  	 loss=0.0244 	 val_loss=0.0164 	 micro_f1=0.340 	 samples_f1=0.223
Epoch 5/40 	 lr=4.6e-04 	 t=319s  	 loss=0.0219 	 val_loss=0.0175 	 micro_f1=0.384 	 samples_f1=0.294
Epoch 6/40 	 lr=4.5e-04 	 t=319s  	 loss=0.0208 	 val_loss=0.0177 	 micro_f1=0.392 	 samples_f1=0.333
Epoch 7/40 	 lr=4.3e-04 	 t=319s  	 loss=0.0195 	 val_loss=0.0140 	 micro_f1=0.489 	 samples_f1=0.384
Epoch 8/40 	 lr=4.2e-04 	 t=319s  	 loss=0.0175 	 val_loss=0.0144 	 micro_f1=0.493 	 samples_f1=0.387
Epoch 9/40 	 lr=4.1e-04 	 t=319s  	 loss=0.0172 	 val_loss=0.0120 	 micro_f1=0.543 	 samples_f1=0.438
Epoch 10/40 	 lr=3.9e-04 	 t=319s  	 loss=0.0157 	 val_loss=0.0107 	 micro_f1=0.610 	 samples_f1=0.532
Epoch 11/40 	 lr=3.8e-04 	 t=320s  	 loss=0.0160 	 val_loss=0.0111 	 micro_f1=0.596 	 samples_f1=0.503
Epoch 12/40 	 lr=3.7e-04 	 t=319s  	 loss=0.0151 	 val_loss=0.0111 	 micro_f1=0.620 	 samples_f1=0.550
Epoch 13/40 	 lr=3.6e-04 	 t=319s  	 loss=0.0138 	 val_loss=0.0097 	 micro_f1=0.671 	 samples_f1=0.609
Epoch 14/40 	 lr=3.4e-04 	 t=319s  	 loss=0.0133 	 val_loss=0.0092 	 micro_f1=0.680 	 samples_f1=0.626
Epoch 15/40 	 lr=3.3e-04 	 t=319s  	 loss=0.0137 	 val_loss=0.0113 	 micro_f1=0.618 	 samples_f1=0.550
Epoch 16/40 	 lr=3.2e-04 	 t=319s  	 loss=0.0126 	 val_loss=0.0084 	 micro_f1=0.718 	 samples_f1=0.676
Epoch 17/40 	 lr=3.0e-04 	 t=319s  	 loss=0.0126 	 val_loss=0.0085 	 micro_f1=0.718 	 samples_f1=0.662
