
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=268s  	 loss=0.1094 	 val_loss=0.0250 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=269s  	 loss=0.0311 	 val_loss=0.0198 	 micro_f1=0.036 	 samples_f1=0.019
Epoch 3/40 	 lr=9.7e-04 	 t=268s  	 loss=0.0276 	 val_loss=0.0156 	 micro_f1=0.192 	 samples_f1=0.108
Epoch 4/40 	 lr=9.5e-04 	 t=268s  	 loss=0.0238 	 val_loss=0.0152 	 micro_f1=0.317 	 samples_f1=0.201
Epoch 5/40 	 lr=9.2e-04 	 t=267s  	 loss=0.0205 	 val_loss=0.0131 	 micro_f1=0.497 	 samples_f1=0.379
Epoch 6/40 	 lr=8.9e-04 	 t=267s  	 loss=0.0198 	 val_loss=0.0109 	 micro_f1=0.543 	 samples_f1=0.421
Epoch 7/40 	 lr=8.7e-04 	 t=268s  	 loss=0.0173 	 val_loss=0.0098 	 micro_f1=0.584 	 samples_f1=0.460
Epoch 8/40 	 lr=8.4e-04 	 t=268s  	 loss=0.0173 	 val_loss=0.0104 	 micro_f1=0.581 	 samples_f1=0.459
Epoch 9/40 	 lr=8.2e-04 	 t=269s  	 loss=0.0160 	 val_loss=0.0100 	 micro_f1=0.630 	 samples_f1=0.523
Epoch 10/40 	 lr=7.9e-04 	 t=269s  	 loss=0.0150 	 val_loss=0.0092 	 micro_f1=0.650 	 samples_f1=0.544
Epoch 11/40 	 lr=7.6e-04 	 t=269s  	 loss=0.0155 	 val_loss=0.0100 	 micro_f1=0.643 	 samples_f1=0.541
Epoch 12/40 	 lr=7.4e-04 	 t=268s  	 loss=0.0143 	 val_loss=0.0085 	 micro_f1=0.675 	 samples_f1=0.581
Epoch 13/40 	 lr=7.1e-04 	 t=269s  	 loss=0.0136 	 val_loss=0.0083 	 micro_f1=0.684 	 samples_f1=0.586
Epoch 14/40 	 lr=6.8e-04 	 t=269s  	 loss=0.0140 	 val_loss=0.0092 	 micro_f1=0.669 	 samples_f1=0.573
Epoch 15/40 	 lr=6.6e-04 	 t=269s  	 loss=0.0120 	 val_loss=0.0092 	 micro_f1=0.670 	 samples_f1=0.588
Epoch 16/40 	 lr=6.3e-04 	 t=269s  	 loss=0.0126 	 val_loss=0.0089 	 micro_f1=0.683 	 samples_f1=0.608
Epoch 17/40 	 lr=6.1e-04 	 t=268s  	 loss=0.0118 	 val_loss=0.0086 	 micro_f1=0.685 	 samples_f1=0.592
Epoch 18/40 	 lr=5.8e-04 	 t=269s  	 loss=0.0121 	 val_loss=0.0078 	 micro_f1=0.720 	 samples_f1=0.653
Epoch 19/40 	 lr=5.5e-04 	 t=270s  	 loss=0.0112 	 val_loss=0.0082 	 micro_f1=0.720 	 samples_f1=0.670
Epoch 20/40 	 lr=5.3e-04 	 t=268s  	 loss=0.0105 	 val_loss=0.0073 	 micro_f1=0.739 	 samples_f1=0.672
Epoch 21/40 	 lr=5.0e-04 	 t=269s  	 loss=0.0108 	 val_loss=0.0079 	 micro_f1=0.740 	 samples_f1=0.691
Epoch 22/40 	 lr=4.7e-04 	 t=268s  	 loss=0.0109 	 val_loss=0.0084 	 micro_f1=0.720 	 samples_f1=0.674
Epoch 23/40 	 lr=4.5e-04 	 t=269s  	 loss=0.0103 	 val_loss=0.0073 	 micro_f1=0.739 	 samples_f1=0.693
Epoch 24/40 	 lr=4.2e-04 	 t=269s  	 loss=0.0094 	 val_loss=0.0072 	 micro_f1=0.746 	 samples_f1=0.692
Epoch 25/40 	 lr=3.9e-04 	 t=269s  	 loss=0.0095 	 val_loss=0.0074 	 micro_f1=0.745 	 samples_f1=0.697
Epoch 26/40 	 lr=3.7e-04 	 t=269s  	 loss=0.0087 	 val_loss=0.0071 	 micro_f1=0.753 	 samples_f1=0.691
Epoch 27/40 	 lr=3.4e-04 	 t=269s  	 loss=0.0082 	 val_loss=0.0073 	 micro_f1=0.752 	 samples_f1=0.710
Epoch 28/40 	 lr=3.2e-04 	 t=268s  	 loss=0.0087 	 val_loss=0.0067 	 micro_f1=0.763 	 samples_f1=0.723
Epoch 29/40 	 lr=2.9e-04 	 t=269s  	 loss=0.0090 	 val_loss=0.0069 	 micro_f1=0.761 	 samples_f1=0.706
Epoch 30/40 	 lr=2.6e-04 	 t=269s  	 loss=0.0084 	 val_loss=0.0067 	 micro_f1=0.762 	 samples_f1=0.695
Epoch 31/40 	 lr=2.4e-04 	 t=269s  	 loss=0.0081 	 val_loss=0.0066 	 micro_f1=0.772 	 samples_f1=0.732
Epoch 32/40 	 lr=2.1e-04 	 t=269s  	 loss=0.0074 	 val_loss=0.0062 	 micro_f1=0.790 	 samples_f1=0.753
Epoch 33/40 	 lr=1.8e-04 	 t=268s  	 loss=0.0077 	 val_loss=0.0065 	 micro_f1=0.777 	 samples_f1=0.732
Epoch 34/40 	 lr=1.6e-04 	 t=269s  	 loss=0.0078 	 val_loss=0.0061 	 micro_f1=0.785 	 samples_f1=0.728
Epoch 35/40 	 lr=1.3e-04 	 t=270s  	 loss=0.0072 	 val_loss=0.0062 	 micro_f1=0.789 	 samples_f1=0.746
Epoch 36/40 	 lr=1.1e-04 	 t=269s  	 loss=0.0061 	 val_loss=0.0064 	 micro_f1=0.784 	 samples_f1=0.739
Epoch 37/40 	 lr=7.9e-05 	 t=269s  	 loss=0.0067 	 val_loss=0.0058 	 micro_f1=0.800 	 samples_f1=0.747
Epoch 38/40 	 lr=5.3e-05 	 t=270s  	 loss=0.0067 	 val_loss=0.0062 	 micro_f1=0.791 	 samples_f1=0.749
Epoch 39/40 	 lr=2.6e-05 	 t=270s  	 loss=0.0062 	 val_loss=0.0061 	 micro_f1=0.792 	 samples_f1=0.748
Epoch 40/40 	 lr=0.0e+00 	 t=269s  	 loss=0.0060 	 val_loss=0.0056 	 micro_f1=0.809 	 samples_f1=0.753

 -> Saving weights to ../checkpoints/2020-09-03/resnest50_fast_1s1x64d_lessfreq_0.pt


-------------   Fold 2 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 24709832 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=268s  	 loss=0.1097 	 val_loss=0.0246 	 micro_f1=0.000 	 samples_f1=0.000
