
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
    -> 87283273 trainable parameters

Epoch 1/40 	 lr=2.5e-04 	 t=313s  	 loss=0.0802 	 val_loss=0.0246 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=5.0e-04 	 t=316s  	 loss=0.0325 	 val_loss=0.0211 	 micro_f1=0.263 	 samples_f1=0.165
Epoch 3/40 	 lr=4.9e-04 	 t=317s  	 loss=0.0250 	 val_loss=0.0136 	 micro_f1=0.425 	 samples_f1=0.294
Epoch 4/40 	 lr=4.7e-04 	 t=317s  	 loss=0.0211 	 val_loss=0.0128 	 micro_f1=0.523 	 samples_f1=0.409
Epoch 5/40 	 lr=4.6e-04 	 t=317s  	 loss=0.0194 	 val_loss=0.0119 	 micro_f1=0.547 	 samples_f1=0.435
Epoch 6/40 	 lr=4.5e-04 	 t=318s  	 loss=0.0190 	 val_loss=0.0118 	 micro_f1=0.540 	 samples_f1=0.423
Epoch 7/40 	 lr=4.3e-04 	 t=318s  	 loss=0.0179 	 val_loss=0.0117 	 micro_f1=0.575 	 samples_f1=0.465
Epoch 8/40 	 lr=4.2e-04 	 t=318s  	 loss=0.0164 	 val_loss=0.0132 	 micro_f1=0.565 	 samples_f1=0.492
Epoch 9/40 	 lr=4.1e-04 	 t=318s  	 loss=0.0163 	 val_loss=0.0114 	 micro_f1=0.604 	 samples_f1=0.526
Epoch 10/40 	 lr=3.9e-04 	 t=318s  	 loss=0.0154 	 val_loss=0.0116 	 micro_f1=0.584 	 samples_f1=0.510
Epoch 11/40 	 lr=3.8e-04 	 t=319s  	 loss=0.0157 	 val_loss=0.0105 	 micro_f1=0.637 	 samples_f1=0.575
Epoch 12/40 	 lr=3.7e-04 	 t=319s  	 loss=0.0149 	 val_loss=0.0099 	 micro_f1=0.660 	 samples_f1=0.592
Epoch 13/40 	 lr=3.6e-04 	 t=319s  	 loss=0.0137 	 val_loss=0.0152 	 micro_f1=0.495 	 samples_f1=0.455
Epoch 14/40 	 lr=3.4e-04 	 t=319s  	 loss=0.0132 	 val_loss=0.0100 	 micro_f1=0.648 	 samples_f1=0.587
Epoch 15/40 	 lr=3.3e-04 	 t=318s  	 loss=0.0139 	 val_loss=0.0093 	 micro_f1=0.692 	 samples_f1=0.646
Epoch 16/40 	 lr=3.2e-04 	 t=318s  	 loss=0.0126 	 val_loss=0.0088 	 micro_f1=0.694 	 samples_f1=0.646
Epoch 17/40 	 lr=3.0e-04 	 t=319s  	 loss=0.0129 	 val_loss=0.0092 	 micro_f1=0.690 	 samples_f1=0.609
Epoch 18/40 	 lr=2.9e-04 	 t=319s  	 loss=0.0116 	 val_loss=0.0100 	 micro_f1=0.657 	 samples_f1=0.592
Epoch 19/40 	 lr=2.8e-04 	 t=318s  	 loss=0.0116 	 val_loss=0.0095 	 micro_f1=0.670 	 samples_f1=0.619
Epoch 20/40 	 lr=2.6e-04 	 t=319s  	 loss=0.0108 	 val_loss=0.0077 	 micro_f1=0.735 	 samples_f1=0.687
Epoch 21/40 	 lr=2.5e-04 	 t=319s  	 loss=0.0114 	 val_loss=0.0084 	 micro_f1=0.720 	 samples_f1=0.670
Epoch 22/40 	 lr=2.4e-04 	 t=319s  	 loss=0.0103 	 val_loss=0.0076 	 micro_f1=0.736 	 samples_f1=0.688
Epoch 23/40 	 lr=2.2e-04 	 t=319s  	 loss=0.0106 	 val_loss=0.0078 	 micro_f1=0.733 	 samples_f1=0.682
Epoch 24/40 	 lr=2.1e-04 	 t=319s  	 loss=0.0097 	 val_loss=0.0076 	 micro_f1=0.744 	 samples_f1=0.707
Epoch 25/40 	 lr=2.0e-04 	 t=319s  	 loss=0.0101 	 val_loss=0.0079 	 micro_f1=0.726 	 samples_f1=0.680
Epoch 26/40 	 lr=1.8e-04 	 t=320s  	 loss=0.0098 	 val_loss=0.0071 	 micro_f1=0.760 	 samples_f1=0.723
Epoch 27/40 	 lr=1.7e-04 	 t=319s  	 loss=0.0092 	 val_loss=0.0070 	 micro_f1=0.764 	 samples_f1=0.718
Epoch 28/40 	 lr=1.6e-04 	 t=319s  	 loss=0.0088 	 val_loss=0.0069 	 micro_f1=0.763 	 samples_f1=0.720
Epoch 29/40 	 lr=1.4e-04 	 t=319s  	 loss=0.0082 	 val_loss=0.0072 	 micro_f1=0.763 	 samples_f1=0.733
Epoch 30/40 	 lr=1.3e-04 	 t=319s  	 loss=0.0086 	 val_loss=0.0073 	 micro_f1=0.755 	 samples_f1=0.721
Epoch 31/40 	 lr=1.2e-04 	 t=319s  	 loss=0.0080 	 val_loss=0.0066 	 micro_f1=0.776 	 samples_f1=0.745
Epoch 32/40 	 lr=1.1e-04 	 t=319s  	 loss=0.0081 	 val_loss=0.0066 	 micro_f1=0.780 	 samples_f1=0.747
Epoch 33/40 	 lr=9.2e-05 	 t=319s  	 loss=0.0079 	 val_loss=0.0068 	 micro_f1=0.774 	 samples_f1=0.750
Epoch 34/40 	 lr=7.9e-05 	 t=319s  	 loss=0.0074 	 val_loss=0.0068 	 micro_f1=0.772 	 samples_f1=0.738
Epoch 35/40 	 lr=6.6e-05 	 t=320s  	 loss=0.0072 	 val_loss=0.0068 	 micro_f1=0.771 	 samples_f1=0.742
