
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Using cache found in /home/theo/.cache/torch/hub/pytorch_vision_v0.6.0
    -> 23520840 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=271s  	 loss=0.1212 	 val_loss=0.0248 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=270s  	 loss=0.0313 	 val_loss=0.0196 	 micro_f1=0.053 	 samples_f1=0.027
Epoch 3/40 	 lr=9.7e-04 	 t=268s  	 loss=0.0289 	 val_loss=0.0185 	 micro_f1=0.136 	 samples_f1=0.073
Epoch 4/40 	 lr=9.5e-04 	 t=268s  	 loss=0.0266 	 val_loss=0.0172 	 micro_f1=0.197 	 samples_f1=0.115
Epoch 5/40 	 lr=9.2e-04 	 t=268s  	 loss=0.0234 	 val_loss=0.0168 	 micro_f1=0.310 	 samples_f1=0.205
Epoch 6/40 	 lr=8.9e-04 	 t=268s  	 loss=0.0226 	 val_loss=0.0137 	 micro_f1=0.409 	 samples_f1=0.284
Epoch 7/40 	 lr=8.7e-04 	 t=267s  	 loss=0.0202 	 val_loss=0.0142 	 micro_f1=0.394 	 samples_f1=0.283
Epoch 8/40 	 lr=8.4e-04 	 t=268s  	 loss=0.0202 	 val_loss=0.0163 	 micro_f1=0.353 	 samples_f1=0.248
Epoch 9/40 	 lr=8.2e-04 	 t=268s  	 loss=0.0186 	 val_loss=0.0116 	 micro_f1=0.564 	 samples_f1=0.454
Epoch 10/40 	 lr=7.9e-04 	 t=268s  	 loss=0.0179 	 val_loss=0.0117 	 micro_f1=0.537 	 samples_f1=0.426
Epoch 11/40 	 lr=7.6e-04 	 t=268s  	 loss=0.0178 	 val_loss=0.0137 	 micro_f1=0.510 	 samples_f1=0.400
Epoch 12/40 	 lr=7.4e-04 	 t=267s  	 loss=0.0174 	 val_loss=0.0109 	 micro_f1=0.608 	 samples_f1=0.533
Epoch 13/40 	 lr=7.1e-04 	 t=268s  	 loss=0.0160 	 val_loss=0.0115 	 micro_f1=0.593 	 samples_f1=0.508
Epoch 14/40 	 lr=6.8e-04 	 t=267s  	 loss=0.0167 	 val_loss=0.0120 	 micro_f1=0.568 	 samples_f1=0.466
Epoch 15/40 	 lr=6.6e-04 	 t=268s  	 loss=0.0142 	 val_loss=0.0107 	 micro_f1=0.632 	 samples_f1=0.561
Epoch 16/40 	 lr=6.3e-04 	 t=268s  	 loss=0.0151 	 val_loss=0.0100 	 micro_f1=0.655 	 samples_f1=0.580
