
-------------   Fold 1 / 5  -------------

    -> 17100 training birds
    -> 4275 validation birds
Using cache found in /home/theo/.cache/torch/hub/pytorch_vision_v0.6.0
    -> 23520840 trainable parameters

Epoch 1/40 	 lr=5.0e-04 	 t=272s  	 loss=0.1214 	 val_loss=0.0252 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 2/40 	 lr=1.0e-03 	 t=271s  	 loss=0.0336 	 val_loss=0.0228 	 micro_f1=0.000 	 samples_f1=0.000
Epoch 3/40 	 lr=9.7e-04 	 t=271s  	 loss=0.0326 	 val_loss=0.0229 	 micro_f1=0.022 	 samples_f1=0.011
Epoch 4/40 	 lr=9.5e-04 	 t=272s  	 loss=0.0306 	 val_loss=0.0222 	 micro_f1=0.058 	 samples_f1=0.030
Epoch 5/40 	 lr=9.2e-04 	 t=272s  	 loss=0.0279 	 val_loss=0.0197 	 micro_f1=0.160 	 samples_f1=0.091
Epoch 6/40 	 lr=8.9e-04 	 t=272s  	 loss=0.0273 	 val_loss=0.0159 	 micro_f1=0.225 	 samples_f1=0.132
Epoch 7/40 	 lr=8.7e-04 	 t=271s  	 loss=0.0249 	 val_loss=0.0145 	 micro_f1=0.282 	 samples_f1=0.172
Epoch 8/40 	 lr=8.4e-04 	 t=272s  	 loss=0.0249 	 val_loss=0.0160 	 micro_f1=0.345 	 samples_f1=0.251
Epoch 9/40 	 lr=8.2e-04 	 t=272s  	 loss=0.0234 	 val_loss=0.0137 	 micro_f1=0.417 	 samples_f1=0.294
Epoch 10/40 	 lr=7.9e-04 	 t=273s  	 loss=0.0225 	 val_loss=0.0137 	 micro_f1=0.419 	 samples_f1=0.293
Epoch 11/40 	 lr=7.6e-04 	 t=272s  	 loss=0.0231 	 val_loss=0.0138 	 micro_f1=0.427 	 samples_f1=0.310
Epoch 12/40 	 lr=7.4e-04 	 t=273s  	 loss=0.0217 	 val_loss=0.0121 	 micro_f1=0.493 	 samples_f1=0.361
Epoch 13/40 	 lr=7.1e-04 	 t=272s  	 loss=0.0209 	 val_loss=0.0128 	 micro_f1=0.510 	 samples_f1=0.391
Epoch 14/40 	 lr=6.8e-04 	 t=272s  	 loss=0.0212 	 val_loss=0.0124 	 micro_f1=0.534 	 samples_f1=0.402
Epoch 15/40 	 lr=6.6e-04 	 t=273s  	 loss=0.0187 	 val_loss=0.0120 	 micro_f1=0.549 	 samples_f1=0.439
Epoch 16/40 	 lr=6.3e-04 	 t=273s  	 loss=0.0202 	 val_loss=0.0123 	 micro_f1=0.536 	 samples_f1=0.425
Epoch 17/40 	 lr=6.1e-04 	 t=273s  	 loss=0.0185 	 val_loss=0.0137 	 micro_f1=0.489 	 samples_f1=0.387
Epoch 18/40 	 lr=5.8e-04 	 t=273s  	 loss=0.0193 	 val_loss=0.0103 	 micro_f1=0.633 	 samples_f1=0.520
Epoch 19/40 	 lr=5.5e-04 	 t=273s  	 loss=0.0180 	 val_loss=0.0104 	 micro_f1=0.647 	 samples_f1=0.549
Epoch 20/40 	 lr=5.3e-04 	 t=272s  	 loss=0.0167 	 val_loss=0.0092 	 micro_f1=0.670 	 samples_f1=0.577
Epoch 21/40 	 lr=5.0e-04 	 t=273s  	 loss=0.0174 	 val_loss=0.0099 	 micro_f1=0.642 	 samples_f1=0.543
Epoch 22/40 	 lr=4.7e-04 	 t=273s  	 loss=0.0177 	 val_loss=0.0099 	 micro_f1=0.658 	 samples_f1=0.559
Epoch 23/40 	 lr=4.5e-04 	 t=273s  	 loss=0.0170 	 val_loss=0.0096 	 micro_f1=0.666 	 samples_f1=0.576
Epoch 24/40 	 lr=4.2e-04 	 t=273s  	 loss=0.0160 	 val_loss=0.0093 	 micro_f1=0.683 	 samples_f1=0.614
Epoch 25/40 	 lr=3.9e-04 	 t=273s  	 loss=0.0156 	 val_loss=0.0092 	 micro_f1=0.698 	 samples_f1=0.613
Epoch 26/40 	 lr=3.7e-04 	 t=273s  	 loss=0.0152 	 val_loss=0.0085 	 micro_f1=0.709 	 samples_f1=0.626
Epoch 27/40 	 lr=3.4e-04 	 t=272s  	 loss=0.0144 	 val_loss=0.0084 	 micro_f1=0.714 	 samples_f1=0.632
Epoch 28/40 	 lr=3.2e-04 	 t=272s  	 loss=0.0152 	 val_loss=0.0085 	 micro_f1=0.706 	 samples_f1=0.622
Epoch 29/40 	 lr=2.9e-04 	 t=273s  	 loss=0.0155 	 val_loss=0.0093 	 micro_f1=0.692 	 samples_f1=0.592
Epoch 30/40 	 lr=2.6e-04 	 t=273s  	 loss=0.0148 	 val_loss=0.0084 	 micro_f1=0.710 	 samples_f1=0.624
Epoch 31/40 	 lr=2.4e-04 	 t=273s  	 loss=0.0144 	 val_loss=0.0078 	 micro_f1=0.735 	 samples_f1=0.659
Epoch 32/40 	 lr=2.1e-04 	 t=273s  	 loss=0.0134 	 val_loss=0.0076 	 micro_f1=0.748 	 samples_f1=0.679
Epoch 33/40 	 lr=1.8e-04 	 t=273s  	 loss=0.0139 	 val_loss=0.0076 	 micro_f1=0.744 	 samples_f1=0.674
Epoch 34/40 	 lr=1.6e-04 	 t=272s  	 loss=0.0140 	 val_loss=0.0076 	 micro_f1=0.747 	 samples_f1=0.674
Epoch 35/40 	 lr=1.3e-04 	 t=272s  	 loss=0.0134 	 val_loss=0.0076 	 micro_f1=0.754 	 samples_f1=0.684
Epoch 36/40 	 lr=1.1e-04 	 t=273s  	 loss=0.0118 	 val_loss=0.0079 	 micro_f1=0.750 	 samples_f1=0.672
